iter	Logloss
0	0.505448288
1	0.2827865431
2	0.2161158022
3	0.1607087383
4	0.1267148631
5	0.08778648085
6	0.08281350417
7	0.06392810539
8	0.05585697807
9	0.04684341015
10	0.0386262875
11	0.03659313928
12	0.03329181443
13	0.02865854634
14	0.02670583934
15	0.02439108086
16	0.02384619533
17	0.02188715006
18	0.0213474486
19	0.02114464852
20	0.01901177531
21	0.01719269276
22	0.01572607359
23	0.01431368304
24	0.01355551068
25	0.0125879481
26	0.01214467779
27	0.01212550894
28	0.01131456415
29	0.01112691159
30	0.01009372888
31	0.009039139844
32	0.008659520582
33	0.008351237388
34	0.007688319368
35	0.006993357276
36	0.006633241879
37	0.006126187266
38	0.005820678286
39	0.005785392945
40	0.005523685741
41	0.005370738988
42	0.005086341058
43	0.004873131559
44	0.004645881038
45	0.004449171635
46	0.004291169184
47	0.004125466425
48	0.003979645026
49	0.003848859587
50	0.003738371212
51	0.003645569524
52	0.003516688683
53	0.003407472486
54	0.00330300143
55	0.003236124402
56	0.003179120044
57	0.003127803803
58	0.003074041937
59	0.003026226476
60	0.002943906953
61	0.002920012213
62	0.002848148569
63	0.002810390705
64	0.00277677735
65	0.002737849095
66	0.002695851659
67	0.002660890323
68	0.00260826278
69	0.002574862168
70	0.002528635553
71	0.002481296012
72	0.002451794462
73	0.002400343423
74	0.002361182557
75	0.002334257914
76	0.002280653618
77	0.002230263237
78	0.0022178887
79	0.002207670935
80	0.002207595283
81	0.002174079894
82	0.002149333266
83	0.002149390273
84	0.002126894561
85	0.002095542974
86	0.002066922044
87	0.002047307224
88	0.002029278193
89	0.002000007113
90	0.001999917859
91	0.001980666322
92	0.001946433232
93	0.001928743795
94	0.001907913192
95	0.001894333266
96	0.001879453959
97	0.00187929807
98	0.00186546811
99	0.001828519035
100	0.001823129552
101	0.001823150184
102	0.001823167149
103	0.001798896747
104	0.001791221502
105	0.001754215879
106	0.001735945984
107	0.001728472784
108	0.001728327899
109	0.001728349295
110	0.001725060494
111	0.001721113291
112	0.001694857901
113	0.001694698803
114	0.001694403989
115	0.00168734313
116	0.001674948114
117	0.001674745458
118	0.001649870146
119	0.001649571053
120	0.001649520312
121	0.001649361214
122	0.001649207464
123	0.00164881713
124	0.001648842806
125	0.001648785035
126	0.00164866766
127	0.001648610042
128	0.001648482122
129	0.001648482122
130	0.001648505811
131	0.001648525067
132	0.001648494807
133	0.001648492209
134	0.00164847448
135	0.001648379724
136	0.001648454917
137	0.001648275645
138	0.001648290011
139	0.001648276409
140	0.001648205495
141	0.001647943846
142	0.001647935898
143	0.001647780926
144	0.001647723614
145	0.001641415455
146	0.001641326354
147	0.001641336594
148	0.001641291967
149	0.001641291967
150	0.001641263234
151	0.001638038776
152	0.001614075567
153	0.00159218446
154	0.001592187517
155	0.001592090316
156	0.001592052413
157	0.001583134641
158	0.001583033466
159	0.00158303316
160	0.001583016195
161	0.001574590085
162	0.001574302607
163	0.001574384525
164	0.0015742132
165	0.001559287584
166	0.001551751876
167	0.001540577991
168	0.00154059954
169	0.001526729691
170	0.001525883611
171	0.001521676439
172	0.001511993282
173	0.001511981055
174	0.001512021097
175	0.001511875295
176	0.001511614105
177	0.001511506816
178	0.00151145577
179	0.001511237678
180	0.001508125704
181	0.001499329892
182	0.001499287863
183	0.001498724676
184	0.001498724676
185	0.001498689371
186	0.001498687996
187	0.001494863517
188	0.001494736972
189	0.001494402574
190	0.001494127935
191	0.001494023092
192	0.001493678607
193	0.001493518286
194	0.001493363161
195	0.001493331525
196	0.001493331525
197	0.001493340848
198	0.00149319046
199	0.00149319046
200	0.00149319046
201	0.00149319046
202	0.001492854535
203	0.001492806087
204	0.001492863246
205	0.001492846435
206	0.001492842461
207	0.001492754582
208	0.001492363484
209	0.001492309381
210	0.001492251305
211	0.001492184976
212	0.001492149213
213	0.001492121703
214	0.001490383846
215	0.001490128768
216	0.001490153374
217	0.001490188067
218	0.001490202739
219	0.001490195403
220	0.001490107677
221	0.001490101258
222	0.001489991525
223	0.001489860394
224	0.001489860394
225	0.001489860394
226	0.001489872927
227	0.001489856421
228	0.001489694113
229	0.001489694113
230	0.001489627172
231	0.001474325895
232	0.001465158699
233	0.001465140054
234	0.001465046673
235	0.001465096344
236	0.001465096344
237	0.001465096344
238	0.001465096344
239	0.001465096344
240	0.001465096344
241	0.001465096344
242	0.001465096344
243	0.001465096344
244	0.001465096344
245	0.001465096344
246	0.001465096344
247	0.001465022679
248	0.001465070821
249	0.001465035516
250	0.001465035516
251	0.001464963532
252	0.001457538169
253	0.001457243813
254	0.001457157616
255	0.001456898412
256	0.001456826275
257	0.001454382179
258	0.001454127254
259	0.001454149109
260	0.001454149109
261	0.001454149109
262	0.001453958833
263	0.001453994901
264	0.001453936672
265	0.001453899381
266	0.001453886085
267	0.001453836261
268	0.001453769168
269	0.001447818331
270	0.001447883744
271	0.001447883744
272	0.00144770493
273	0.001447576551
274	0.001447459328
275	0.001447325447
276	0.001447274859
277	0.001446981574
